lipidid,pvalues_ALD_CTRL,logf2c_ald_ctrl,lipid,pvalue_wo_fam_1,pvalue_wo_fam_2,pvalue_wo_fam_3,pvalue_wo_fam_4,pvalue_wo_fam_5,pvalue_wo_fam_6,pvalue_wo_fam_7,pvalue_wo_fam_1_2,pvalue_wo_fam_1_3,pvalue_wo_fam_1_4,pvalue_wo_fam_1_5,pvalue_wo_fam_1_6,pvalue_wo_fam_2_3,pvalue_wo_fam_2_4,pvalue_wo_fam_2_5,pvalue_wo_fam_2_6,pvalue_wo_fam_3_4,pvalue_wo_fam_3_5,pvalue_wo_fam_3_6,pvalue_wo_fam_4_5,pvalue_wo_fam_4_6,pvalue_wo_fam_5_6,log2fc_wo_fam_1,log2fc_wo_fam_2,log2fc_wo_fam_3,log2fc_wo_fam_4,log2fc_wo_fam_5,log2fc_wo_fam_6,log2fc_wo_fam_7,log2fc_wo_fam_1_2,log2fc_wo_fam_1_3,log2fc_wo_fam_1_4,log2fc_wo_fam_1_5,log2fc_wo_fam_1_6,log2fc_wo_fam_2_3,log2fc_wo_fam_2_4,log2fc_wo_fam_2_5,log2fc_wo_fam_2_6,log2fc_wo_fam_3_4,log2fc_wo_fam_3_5,log2fc_wo_fam_3_6,log2fc_wo_fam_4_5,log2fc_wo_fam_4_6,log2fc_wo_fam_5_6
LPC(15:0),0.293789710819027,0.264710545703986,LPC(15:0),0.76755539956709,0.6985773653822039,0.128543253482544,0.335264769912022,0.5857924139725981,0.470449829263638,0.41525294865241796,0.735255529662364,0.29126942120228005,0.64644805722934,0.9748611125192851,0.842580764214295,0.29258351432710605,0.594557536636835,0.9266882529287471,0.7691660638595079,0.0524509991256768,0.243338615982857,0.160955868804048,0.499351602712655,0.3931350331566071,0.652403323873596,-0.0172580815555943,0.0141073905696967,0.22420050977778502,0.125535321960583,-0.00541160556605291,0.0609414806072834,0.0670191692989501,-0.10446711768079599,0.15814928132931302,0.0348177965578111,-0.12886586285048499,-0.0459245051338133,0.197356121485928,0.0740246367144248,-0.0896590226938709,-0.0067176649772005,0.336641035724536,0.17295737631623997,0.25589873403291,0.0496258915447374,0.132567249261408,-0.031116410146887
LPC(16:1),0.0809098599491849,0.7265209326796909,LPC(16:1),0.191014221399722,0.7261731999402121,0.778948822780679,0.909942698830846,0.9635285716185419,0.842313321307417,0.826556628652765,0.0866417661921122,0.414789600790652,0.390345498016949,0.312932944512316,0.206631936723814,0.904630148179802,0.9779069516219521,0.862409159176768,0.748884304956059,0.466084452001884,0.634519902977009,0.77799045882011,0.774146967329146,0.9037437630485781,0.9755566529311891,-0.358068953716895,-0.31007912588396297,-0.0793329751077216,-0.14241416829359801,-0.219777408155879,-0.272279169908058,-0.230325300177685,-0.489697149234543,-0.201264460764242,-0.280115952246587,-0.37682000207443794,-0.44244720426466205,-0.141277175973079,-0.220128667455424,-0.316832717283275,-0.382459919473499,0.0683040210148773,-0.0284000288129738,-0.0940272310031975,-0.107251520295319,-0.172878722485542,-0.269582772313393
LPC(16:0),0.15662222733940198,0.40777482313504293,LPC(16:0),0.6244448826981899,0.70015873451242,0.44823142871553995,0.36443548193775804,0.5863420264391539,0.688242109917901,0.5866327553632039,0.39048226934994607,0.936963800249243,0.8552904635909321,0.663697323063578,0.42430084780231,0.5619234524677089,0.47460850086196793,0.702748383077108,0.806409769104708,0.235952563761817,0.45600273761893706,0.551109796449054,0.370817621404474,0.46414550190461407,0.6913145500748961,-0.0896078980373094,-0.020292475977886002,0.0386811264478872,0.0873092247844003,0.00335426092825486,-0.0233123078860853,-0.000644678290118605,-0.13640845008381,-0.0626914470515931,-0.00190632413095315,-0.106850028951133,-0.14018323996906,0.0239528305226866,0.0847379534433266,-0.020205751376853,-0.0535389623947804,0.158454956475543,0.0535112516553635,0.0201780406374361,0.114296374576004,0.0809631635580779,-0.0239805412621017
LPC(17:1),0.15146742691110598,0.493376969186394,LPC(17:1),0.997397828329419,0.12284292638702302,0.6809884836244949,0.866269739607969,0.930222180516028,0.932566895106445,0.9636722900237231,0.152530581324813,0.6609786626135961,0.841074117661404,0.9024200439653041,0.9668721527624291,0.21382334002199602,0.259656290266865,0.217174532359546,0.0845616080420952,0.507570365510481,0.5814256475283289,0.7289716746074691,0.769064530449211,0.904280217094076,0.9646575956268678,-0.25528209167038,-0.402140642411827,-0.0323727300320193,-0.15597691818436,-0.20893833231699602,-0.28531742403613397,-0.223338023108619,-0.486771382939829,-0.024561492465069,-0.179066727655495,-0.24526849532129,-0.340742359970213,-0.208134680891878,-0.36263991608230606,-0.428841683748101,-0.5243155483970229,0.0995699743924545,0.0333682067266605,-0.0621056579222627,-0.121137028463767,-0.21661089311269,-0.282812660778484
LPC(17:0),0.31315366578647497,0.44760147229067204,LPC(17:0),0.7030986649276221,0.9414058103606109,0.15109149648042802,0.40166729716815003,0.591358023397258,0.5731125199389039,0.478677571305729,0.645943326822469,0.30333452281024,0.6156005653662809,0.833878092499953,0.8124109244723341,0.288834667325464,0.804086828242463,0.885422648413677,0.9180193649040759,0.0769618323252681,0.23216254707448497,0.218433052423924,0.515087105067603,0.49812172235331,0.695222637616452,-0.15971916743801998,-0.16488873638820903,0.30853830871426696,0.0634878937080261,-0.137625603086096,-0.0948941058007389,-0.0308502350484616,-0.359484527210093,0.23229927916800197,-0.0740137395897991,-0.325405610582452,-0.271991238975756,0.225837317980264,-0.0804757007775354,-0.331867571770188,-0.278453200163492,0.5113081056005601,0.25991623460790697,0.313330606214604,-0.046396784149894,0.00701758745680259,-0.24437428353585
LPC(18:2),0.8300530809071229,0.10819841761851,LPC(18:2),0.543341915449132,0.58539184744923,0.3419356186711501,0.138298987280849,0.36247455320430194,0.23308294742516897,0.283023385146224,0.73664259589213,0.637303268478389,0.31370922320386996,0.668725131347921,0.471712208990078,0.6917255138280379,0.304943835251655,0.728811003605008,0.497131570572809,0.18095719500345103,0.435725003743195,0.292413379540509,0.198424744794786,0.0852712260925431,0.31237024831090904,0.0234269899578958,0.0884071000063944,0.173183761523324,0.36338311810682106,0.13349927707179,0.261786494655414,0.173947790220273,-0.121129072875048,-0.0151582459788848,0.22259094975048496,-0.0647638515433027,0.0955951704362281,0.0660668915817393,0.303816087311109,0.0164612860173214,0.176820307996852,0.40978691420727203,0.12243211291348301,0.28279113489301505,0.360181308642854,0.520540330622385,0.233185529328598
LPC(18:1),0.237874329387368,0.3975030913562229,LPC(18:1),0.171615129195125,0.712718383065912,0.56161645714911,0.5032329702893089,0.647513740797474,0.651312018751153,0.6672901899190861,0.0916881723518077,0.360489345962477,0.364344336025569,0.234535495273459,0.22719377168064003,0.613370920718566,0.555548396000596,0.697613586333663,0.701322474200722,0.40946404492458,0.5512981089021739,0.5549498825662679,0.493612153590454,0.497268154509141,0.6386272013187371,-0.265274280696961,-0.0622247422666984,0.0352334644229426,0.105725947421782,-0.0193718883856562,-0.0262075713615157,-0.0386865118110187,-0.351344010988043,-0.22952125262599102,-0.141405648877448,-0.297777943636747,-0.306322547356567,0.0242906704118315,0.112406274160378,-0.0439660205989192,-0.0525106243187405,0.23422903252243002,0.077856737763133,0.0693121340433116,0.165972341511679,0.15742773779185598,0.00105544303255911
LPC(18:0),0.36557710831351503,0.214647386743506,LPC(18:0),0.45777496780089705,0.755125058743693,0.588213008937242,0.378791039058676,0.759656333416091,0.775626278156755,0.709033271607778,0.40756881134578704,0.679071792565629,0.9386466061506149,0.398873556027947,0.36740109101796503,0.640904099619594,0.43162291140183395,0.807646677075793,0.823114138865186,0.266343729322932,0.645161964343693,0.66011555981074,0.435839157249394,0.450567350918398,0.827532892641543,-0.14421022900979502,-0.0155688753642291,0.0438125673501411,0.14281039027020098,-0.0297478381900689,-0.0302863265063564,-0.00553171857501944,-0.191426302605002,-0.117199499212042,0.00654777943803531,-0.209150006137303,-0.209823116532663,0.0436021928449168,0.16734947149499,-0.0483483140803447,-0.0490214244757041,0.24157627488795103,0.0258784893126176,0.0252053789172564,0.149625767962691,0.148952657567332,-0.0667451280080034
LPC(19:1),0.163404709913949,0.589659627827646,LPC(19:1),0.91712945762194,0.982602711918553,0.401430700639148,0.46473578267334403,0.471109486273507,0.636060161448663,0.59449556491968,0.113731260360923,0.794352256860217,0.8845248743941521,0.8933758686791071,0.877006220672971,0.7297940597116921,0.8096216085573879,0.817530637713539,0.9772817198898991,0.282201363246155,0.288569860750158,0.448110877161133,0.35233220539192295,0.512338941062906,0.5187511109453571,-0.334000889553019,-0.224413383718663,0.0566552774931774,0.0253817092971926,0.0574627610484637,-0.13528428824146602,-0.0923664689457193,-0.559468138171023,-0.208132311656223,-0.247224271901205,-0.20712295721211502,-0.44805676882452705,-0.0711479293632782,-0.11023988960825899,-0.0701385749191701,-0.311072386531582,0.24109593690654002,0.28119725159563,0.0402634399832182,0.24210529135064798,0.00117147973823695,0.0412727944273263
LPC(19:0),0.9919674740331359,-0.0191934195677774,LPC(19:0),0.78925263237848,0.926783986722694,0.255616696040846,0.40805997799959204,0.5799728694516579,0.5981317931829201,0.533156178586605,0.39001512099247404,0.46098042080917606,0.6440633511316279,0.840190707680702,0.8612178824330751,0.544930502262036,0.8472589930750601,0.8708137985282121,0.839178484925582,0.13879965192015398,0.29882057296894704,0.314791279391847,0.45940946795017495,0.47634564582852706,0.650639982835904,-0.13417507919429902,-0.130947361884482,0.196335151942508,0.11067382462420501,-0.0430973096742098,-0.0525517605200463,-0.008960422451054221,-0.31796241767189504,0.0911407246118414,-0.0159359345360373,-0.208149852409055,-0.21996791596635099,0.0951753712491137,-0.0119012878987648,-0.20411520577178302,-0.21593326932907897,0.397201854384971,0.204987936511953,0.193169872954658,0.0979112773640747,0.0860932138067794,-0.106120704066239
